file_identifier;key;value
673316ce5d274d76361f24972672df1f;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13576-AVIS-SOC-GLASSDOOR-E18712_P1.html
673316ce5d274d76361f24972672df1f;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13576-AVIS-SOC-GLASSDOOR-E18712_P1.html
673316ce5d274d76361f24972672df1f;file_pattern;*AVIS-SOC*
54a7936c6ccc20940ce648c392a8d04c;file_size;395.20 Ko
54a7936c6ccc20940ce648c392a8d04c;file_name;13576-AVIS-SOC-GLASSDOOR-E18712_P2.html
54a7936c6ccc20940ce648c392a8d04c;import_date;29/04/2023 18:55:06
54a7936c6ccc20940ce648c392a8d04c;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13576-AVIS-SOC-GLASSDOOR-E18712_P2.html
54a7936c6ccc20940ce648c392a8d04c;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13576-AVIS-SOC-GLASSDOOR-E18712_P2.html
54a7936c6ccc20940ce648c392a8d04c;file_pattern;*AVIS-SOC*
dd2c8d2e5c1411f2e2bfe63ff058d08e;file_size;279.32 Ko
dd2c8d2e5c1411f2e2bfe63ff058d08e;file_name;13577-AVIS-SOC-GLASSDOOR-E235143_P1.html
dd2c8d2e5c1411f2e2bfe63ff058d08e;import_date;29/04/2023 18:55:06
dd2c8d2e5c1411f2e2bfe63ff058d08e;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13577-AVIS-SOC-GLASSDOOR-E235143_P1.html
dd2c8d2e5c1411f2e2bfe63ff058d08e;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13577-AVIS-SOC-GLASSDOOR-E235143_P1.html
dd2c8d2e5c1411f2e2bfe63ff058d08e;file_pattern;*AVIS-SOC*
5136f5cd9e0d614a840cb547dbbf4948;file_size;352.29 Ko
5136f5cd9e0d614a840cb547dbbf4948;file_name;13584-AVIS-SOC-GLASSDOOR-E1044716_P1.html
5136f5cd9e0d614a840cb547dbbf4948;import_date;29/04/2023 18:55:06
5136f5cd9e0d614a840cb547dbbf4948;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13584-AVIS-SOC-GLASSDOOR-E1044716_P1.html
5136f5cd9e0d614a840cb547dbbf4948;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13584-AVIS-SOC-GLASSDOOR-E1044716_P1.html
5136f5cd9e0d614a840cb547dbbf4948;file_pattern;*AVIS-SOC*
85408ba7704ccf0804f35646ab5b6fde;file_size;351.94 Ko
85408ba7704ccf0804f35646ab5b6fde;file_name;13584-AVIS-SOC-GLASSDOOR-E1044716_P2.html
85408ba7704ccf0804f35646ab5b6fde;import_date;29/04/2023 18:55:06
85408ba7704ccf0804f35646ab5b6fde;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13584-AVIS-SOC-GLASSDOOR-E1044716_P2.html
85408ba7704ccf0804f35646ab5b6fde;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13584-AVIS-SOC-GLASSDOOR-E1044716_P2.html
85408ba7704ccf0804f35646ab5b6fde;file_pattern;*AVIS-SOC*
8a52bac65de4a025f77b58acf4ffd221;file_size;354.89 Ko
8a52bac65de4a025f77b58acf4ffd221;file_name;13585-AVIS-SOC-GLASSDOOR-E13058_P1.html
8a52bac65de4a025f77b58acf4ffd221;import_date;29/04/2023 18:55:07
8a52bac65de4a025f77b58acf4ffd221;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13585-AVIS-SOC-GLASSDOOR-E13058_P1.html
8a52bac65de4a025f77b58acf4ffd221;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13585-AVIS-SOC-GLASSDOOR-E13058_P1.html
8a52bac65de4a025f77b58acf4ffd221;file_pattern;*AVIS-SOC*
736974a08db8d32ff9f4d0ff0ae62665;file_size;364.52 Ko
736974a08db8d32ff9f4d0ff0ae62665;file_name;13585-AVIS-SOC-GLASSDOOR-E13058_P2.html
736974a08db8d32ff9f4d0ff0ae62665;import_date;29/04/2023 18:55:07
736974a08db8d32ff9f4d0ff0ae62665;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13585-AVIS-SOC-GLASSDOOR-E13058_P2.html
736974a08db8d32ff9f4d0ff0ae62665;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13585-AVIS-SOC-GLASSDOOR-E13058_P2.html
736974a08db8d32ff9f4d0ff0ae62665;file_pattern;*AVIS-SOC*
2729d0053d9f27cd4598409682f55c8f;file_size;315.50 Ko
2729d0053d9f27cd4598409682f55c8f;file_name;13586-AVIS-SOC-GLASSDOOR-E649071_P1.html
2729d0053d9f27cd4598409682f55c8f;import_date;29/04/2023 18:55:07
2729d0053d9f27cd4598409682f55c8f;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13586-AVIS-SOC-GLASSDOOR-E649071_P1.html
2729d0053d9f27cd4598409682f55c8f;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13586-AVIS-SOC-GLASSDOOR-E649071_P1.html
2729d0053d9f27cd4598409682f55c8f;file_pattern;*AVIS-SOC*
4c14ed62869c59492c0382ee8c12c402;file_size;457.02 Ko
4c14ed62869c59492c0382ee8c12c402;file_name;13587-AVIS-SOC-GLASSDOOR-E1838_P1.html
4c14ed62869c59492c0382ee8c12c402;import_date;29/04/2023 18:55:07
4c14ed62869c59492c0382ee8c12c402;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13587-AVIS-SOC-GLASSDOOR-E1838_P1.html
4c14ed62869c59492c0382ee8c12c402;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13587-AVIS-SOC-GLASSDOOR-E1838_P1.html
4c14ed62869c59492c0382ee8c12c402;file_pattern;*AVIS-SOC*
64e1e98afdf251829325d2a64593358d;file_size;454.78 Ko
